avg (temperature),max (temperature),min (temperature),avg (humidity),max (humidity),min (humidity),power,avg(wind speed),avg(local pressure),avg(cloud cover),avg(ground temperature),avg(evaporation volume),sun_rise,sun_set,sun_max,day_duration,night_duration,day_avg_temperature_app,night_avg_temperature_app,Nitrogen Dioxide Concentration (ppm),Ozone Concentration (ppm),Carbon Monoxide Concentration (ppm),Sulfur Dioxide Concentration (ppm),Particulate Matter (micrograms per cubic meter),Fine Particulate Matter (micrograms per cubic meter),AQI
-14.9,-14.9,-14.9,32.17,32.17,32.17,78.35,0.0,985.1,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,-14.9,-14.9,0.007,0.001,0.2,0.002,5.0,1.0,21.0
-9.9,-9.9,-9.9,37.17,37.17,37.17,88.35,0.5,985.6,0.5,3.9000000000000004,0.2,10.0,10.0,5.0,5.0,5.0,-9.9,-9.9,0.012,0.006,0.30000000000000004,0.003,15.0,11.0,31.0
-4.9,-4.9,-4.9,42.17,42.17,42.17,98.35,1.0,986.1,1.0,4.1000000000000005,0.4,20.0,20.0,10.0,10.0,10.0,-4.9,-4.9,0.017,0.011,0.4000000000000001,0.004,25.0,21.0,41.0
0.09999999999999964,0.09999999999999964,0.09999999999999964,47.17,47.17,47.17,108.35,1.5,986.6,1.5,4.300000000000001,0.6000000000000001,30.0,30.0,15.0,15.0,15.0,0.09999999999999964,0.09999999999999964,0.022,0.016,0.5000000000000001,0.005,35.0,31.0,51.0
5.1,5.1,5.1,52.17,52.17,52.17,118.35,2.0,987.1,2.0,4.500000000000001,0.8,40.0,40.0,20.0,20.0,20.0,5.1,5.1,0.027,0.021,0.6000000000000001,,45.0,41.0,61.0
10.1,10.1,10.1,57.17,57.17,57.17,128.35,2.5,987.6,2.5,4.700000000000001,1.0,50.0,50.0,25.0,25.0,25.0,10.1,10.1,0.032,0.026000000000000002,0.7000000000000002,,55.0,51.0,71.0
15.1,15.1,15.1,62.17,62.17,62.17,138.35,3.0,988.1,3.0,4.900000000000001,1.2000000000000002,60.0,60.0,30.0,30.0,30.0,15.1,15.1,0.037,0.031,0.8000000000000003,,65.0,61.0,81.0
20.1,20.1,20.1,67.17,67.17,67.17,148.35,3.5,988.6,3.5,5.100000000000001,1.4000000000000001,70.0,70.0,35.0,35.0,35.0,20.1,20.1,0.042,0.036000000000000004,0.9000000000000001,,75.0,71.0,91.0
25.1,25.1,25.1,72.17,72.17,72.17,158.35,4.0,989.1,4.0,5.300000000000002,1.6,80.0,80.0,40.0,40.0,40.0,25.1,25.1,0.047,0.041,,,85.0,81.0,101.0
30.1,30.1,30.1,77.17,77.17,77.17,168.35,4.5,989.6,4.5,5.500000000000002,1.8,90.0,90.0,45.0,45.0,45.0,30.1,30.1,0.052,0.046,,,95.0,91.0,111.0
35.1,35.1,35.1,82.17,82.17,82.17,178.35,5.0,990.1,5.0,5.700000000000002,2.0,100.0,100.0,50.0,50.0,50.0,35.1,35.1,0.057,0.051000000000000004,,,105.0,,121.0
,,,87.17,87.17,87.17,188.35,5.5,990.6,5.5,5.900000000000002,2.2,110.0,110.0,55.0,55.0,55.0,,,,0.056,,,115.0,,131.0
,,,92.17,92.17,92.17,198.35,,991.1,6.0,6.100000000000002,2.4000000000000004,120.0,120.0,60.0,60.0,60.0,,,,0.061,,,125.0,,141.0
,,,97.17,97.17,97.17,208.35,,991.6,6.5,6.3000000000000025,2.6,130.0,130.0,65.0,65.0,65.0,,,,,,,135.0,,151.0
,,,102.17,102.17,102.17,218.35,,992.1,7.0,6.500000000000003,2.8000000000000003,140.0,140.0,70.0,70.0,70.0,,,,,,,145.0,,161.0
,,,,,,228.35,,992.6,7.5,6.700000000000003,3.0,150.0,150.0,75.0,75.0,75.0,,,,,,,155.0,,171.0
,,,,,,238.35,,993.1,8.0,6.900000000000003,3.2,160.0,160.0,80.0,80.0,80.0,,,,,,,165.0,,181.0
,,,,,,248.35,,993.6,8.5,7.100000000000003,3.4000000000000004,170.0,170.0,85.0,85.0,85.0,,,,,,,175.0,,191.0
,,,,,,258.35,,994.1,9.0,7.300000000000003,3.6,180.0,180.0,90.0,90.0,90.0,,,,,,,185.0,,201.0
,,,,,,268.35,,994.6,9.5,7.5000000000000036,3.8000000000000003,190.0,190.0,95.0,95.0,95.0,,,,,,,195.0,,211.0
,,,,,,278.35,,995.1,10.0,7.700000000000004,4.0,200.0,200.0,100.0,100.0,100.0,,,,,,,205.0,,221.0
,,,,,,288.35,,995.6,,7.900000000000004,4.2,210.0,210.0,105.0,105.0,105.0,,,,,,,215.0,,231.0
,,,,,,298.35,,996.1,,8.100000000000005,4.4,220.0,220.0,110.0,110.0,110.0,,,,,,,225.0,,241.0
,,,,,,308.35,,996.6,,8.300000000000004,4.6000000000000005,230.0,230.0,115.0,115.0,115.0,,,,,,,235.0,,251.0
,,,,,,318.35,,997.1,,8.500000000000004,4.800000000000001,240.0,240.0,120.0,120.0,120.0,,,,,,,245.0,,261.0
,,,,,,328.35,,997.6,,8.700000000000005,5.0,250.0,250.0,125.0,125.0,125.0,,,,,,,255.0,,271.0
,,,,,,338.35,,998.1,,8.900000000000006,5.2,260.0,260.0,130.0,130.0,130.0,,,,,,,265.0,,281.0
,,,,,,348.35,,998.6,,9.100000000000005,5.4,270.0,270.0,135.0,135.0,135.0,,,,,,,275.0,,291.0
,,,,,,358.35,,999.1,,9.300000000000004,5.6000000000000005,280.0,280.0,140.0,140.0,140.0,,,,,,,285.0,,301.0
,,,,,,368.35,,999.6,,9.500000000000005,5.800000000000001,290.0,290.0,145.0,145.0,145.0,,,,,,,295.0,,311.0
,,,,,,378.35,,1000.1,,9.700000000000006,6.0,300.0,300.0,150.0,150.0,150.0,,,,,,,305.0,,321.0
,,,,,,388.35,,1000.6,,9.900000000000006,6.2,310.0,310.0,155.0,155.0,155.0,,,,,,,315.0,,331.0
,,,,,,398.35,,1001.1,,10.100000000000005,6.4,320.0,320.0,160.0,160.0,160.0,,,,,,,325.0,,341.0
,,,,,,408.35,,1001.6,,10.300000000000006,6.6000000000000005,330.0,330.0,165.0,165.0,165.0,,,,,,,335.0,,351.0
,,,,,,418.35,,1002.1,,10.500000000000007,6.800000000000001,340.0,340.0,170.0,170.0,170.0,,,,,,,345.0,,361.0
,,,,,,428.35,,1002.6,,10.700000000000006,,350.0,350.0,175.0,175.0,175.0,,,,,,,355.0,,371.0
,,,,,,438.35,,1003.1,,10.900000000000006,,360.0,360.0,180.0,180.0,180.0,,,,,,,365.0,,381.0
,,,,,,448.35,,1003.6,,11.100000000000007,,370.0,370.0,185.0,185.0,185.0,,,,,,,375.0,,391.0
,,,,,,458.35,,1004.1,,11.300000000000008,,380.0,380.0,190.0,190.0,190.0,,,,,,,385.0,,401.0
,,,,,,468.35,,1004.6,,11.500000000000007,,390.0,390.0,195.0,195.0,195.0,,,,,,,395.0,,411.0
,,,,,,478.35,,1005.1,,11.700000000000006,,400.0,400.0,200.0,200.0,200.0,,,,,,,405.0,,421.0
,,,,,,488.35,,1005.6,,11.900000000000006,,410.0,410.0,205.0,205.0,205.0,,,,,,,415.0,,431.0
,,,,,,498.35,,1006.1,,12.100000000000009,,420.0,420.0,210.0,210.0,210.0,,,,,,,425.0,,441.0
,,,,,,508.35,,1006.6,,12.300000000000008,,430.0,430.0,215.0,215.0,215.0,,,,,,,435.0,,451.0
,,,,,,,,1007.1,,12.500000000000007,,440.0,440.0,220.0,220.0,220.0,,,,,,,445.0,,461.0
,,,,,,,,1007.6,,12.700000000000006,,450.0,450.0,225.0,225.0,225.0,,,,,,,455.0,,471.0
,,,,,,,,1008.1,,12.90000000000001,,460.0,460.0,230.0,230.0,230.0,,,,,,,465.0,,
,,,,,,,,1008.6,,13.100000000000009,,470.0,470.0,235.0,235.0,235.0,,,,,,,,,
,,,,,,,,1009.1,,13.300000000000008,,480.0,480.0,240.0,240.0,240.0,,,,,,,,,
,,,,,,,,1009.6,,13.500000000000007,,490.0,490.0,245.0,245.0,245.0,,,,,,,,,
,,,,,,,,1010.1,,13.70000000000001,,500.0,500.0,250.0,250.0,250.0,,,,,,,,,
,,,,,,,,1010.6,,13.90000000000001,,510.0,510.0,255.0,255.0,255.0,,,,,,,,,
,,,,,,,,1011.1,,14.100000000000009,,520.0,520.0,260.0,260.0,260.0,,,,,,,,,
,,,,,,,,1011.6,,14.300000000000008,,530.0,530.0,265.0,265.0,265.0,,,,,,,,,
,,,,,,,,1012.1,,14.50000000000001,,540.0,540.0,270.0,270.0,270.0,,,,,,,,,
,,,,,,,,1012.6,,14.70000000000001,,550.0,550.0,275.0,275.0,275.0,,,,,,,,,
,,,,,,,,1013.1,,14.90000000000001,,560.0,560.0,280.0,280.0,280.0,,,,,,,,,
,,,,,,,,1013.6,,15.100000000000009,,570.0,570.0,285.0,285.0,285.0,,,,,,,,,
,,,,,,,,1014.1,,15.300000000000011,,580.0,580.0,290.0,290.0,290.0,,,,,,,,,
,,,,,,,,1014.6,,15.50000000000001,,590.0,590.0,295.0,295.0,295.0,,,,,,,,,
,,,,,,,,1015.1,,15.70000000000001,,600.0,600.0,300.0,300.0,300.0,,,,,,,,,
,,,,,,,,1015.6,,15.90000000000001,,610.0,610.0,305.0,305.0,305.0,,,,,,,,,
,,,,,,,,1016.1,,16.100000000000012,,620.0,620.0,310.0,310.0,310.0,,,,,,,,,
,,,,,,,,1016.6,,16.30000000000001,,630.0,630.0,315.0,315.0,315.0,,,,,,,,,
,,,,,,,,1017.1,,16.50000000000001,,640.0,640.0,320.0,320.0,320.0,,,,,,,,,
,,,,,,,,1017.6,,16.70000000000001,,650.0,650.0,325.0,325.0,325.0,,,,,,,,,
,,,,,,,,1018.1,,16.900000000000013,,660.0,660.0,330.0,330.0,330.0,,,,,,,,,
,,,,,,,,1018.6,,17.100000000000012,,670.0,670.0,335.0,335.0,335.0,,,,,,,,,
,,,,,,,,1019.1,,17.30000000000001,,680.0,680.0,340.0,340.0,340.0,,,,,,,,,
,,,,,,,,1019.6,,17.50000000000001,,690.0,690.0,345.0,345.0,345.0,,,,,,,,,
,,,,,,,,1020.1,,17.700000000000014,,700.0,700.0,350.0,350.0,350.0,,,,,,,,,
,,,,,,,,1020.6,,17.900000000000013,,710.0,710.0,355.0,355.0,355.0,,,,,,,,,
,,,,,,,,1021.1,,18.100000000000012,,720.0,720.0,360.0,360.0,360.0,,,,,,,,,
,,,,,,,,1021.6,,18.30000000000001,,730.0,730.0,365.0,365.0,365.0,,,,,,,,,
,,,,,,,,1022.1,,18.500000000000014,,740.0,740.0,370.0,370.0,370.0,,,,,,,,,
,,,,,,,,1022.6,,18.700000000000014,,750.0,750.0,375.0,375.0,375.0,,,,,,,,,
,,,,,,,,1023.1,,18.900000000000013,,760.0,760.0,380.0,380.0,380.0,,,,,,,,,
,,,,,,,,1023.6,,19.100000000000012,,770.0,770.0,385.0,385.0,385.0,,,,,,,,,
,,,,,,,,1024.1,,19.300000000000015,,780.0,780.0,390.0,390.0,390.0,,,,,,,,,
,,,,,,,,1024.6,,19.500000000000014,,790.0,790.0,395.0,395.0,395.0,,,,,,,,,
,,,,,,,,1025.1,,19.700000000000014,,800.0,800.0,400.0,400.0,400.0,,,,,,,,,
,,,,,,,,1025.6,,19.900000000000013,,810.0,810.0,405.0,405.0,405.0,,,,,,,,,
,,,,,,,,,,20.100000000000012,,820.0,820.0,410.0,410.0,410.0,,,,,,,,,
,,,,,,,,,,20.300000000000015,,830.0,830.0,415.0,415.0,415.0,,,,,,,,,
,,,,,,,,,,20.500000000000014,,840.0,840.0,420.0,420.0,420.0,,,,,,,,,
,,,,,,,,,,20.700000000000014,,850.0,850.0,425.0,425.0,425.0,,,,,,,,,
,,,,,,,,,,20.900000000000016,,860.0,860.0,430.0,430.0,430.0,,,,,,,,,
,,,,,,,,,,21.100000000000016,,870.0,870.0,435.0,435.0,435.0,,,,,,,,,
,,,,,,,,,,21.300000000000015,,880.0,880.0,440.0,440.0,440.0,,,,,,,,,
,,,,,,,,,,21.500000000000014,,890.0,890.0,445.0,445.0,445.0,,,,,,,,,
,,,,,,,,,,21.700000000000014,,900.0,900.0,450.0,450.0,450.0,,,,,,,,,
,,,,,,,,,,21.900000000000016,,910.0,910.0,455.0,455.0,455.0,,,,,,,,,
,,,,,,,,,,22.100000000000016,,920.0,920.0,460.0,460.0,460.0,,,,,,,,,
,,,,,,,,,,22.300000000000015,,930.0,930.0,465.0,465.0,465.0,,,,,,,,,
,,,,,,,,,,22.500000000000018,,940.0,940.0,470.0,470.0,470.0,,,,,,,,,
,,,,,,,,,,22.700000000000017,,950.0,950.0,475.0,475.0,475.0,,,,,,,,,
,,,,,,,,,,22.900000000000016,,960.0,960.0,480.0,480.0,480.0,,,,,,,,,
,,,,,,,,,,23.100000000000016,,970.0,970.0,485.0,485.0,485.0,,,,,,,,,
,,,,,,,,,,23.300000000000015,,980.0,980.0,490.0,490.0,490.0,,,,,,,,,
,,,,,,,,,,23.500000000000018,,990.0,990.0,495.0,495.0,495.0,,,,,,,,,
,,,,,,,,,,23.700000000000017,,1000.0,1000.0,500.0,500.0,500.0,,,,,,,,,
,,,,,,,,,,23.900000000000016,,1010.0,1010.0,505.0,505.0,505.0,,,,,,,,,
,,,,,,,,,,24.10000000000002,,1020.0,1020.0,510.0,510.0,510.0,,,,,,,,,
,,,,,,,,,,24.30000000000002,,1030.0,1030.0,515.0,515.0,515.0,,,,,,,,,
,,,,,,,,,,24.500000000000018,,1040.0,1040.0,520.0,520.0,520.0,,,,,,,,,
,,,,,,,,,,24.700000000000017,,1050.0,1050.0,525.0,525.0,525.0,,,,,,,,,
,,,,,,,,,,24.900000000000016,,1060.0,1060.0,530.0,530.0,530.0,,,,,,,,,
,,,,,,,,,,25.10000000000002,,1070.0,1070.0,535.0,535.0,535.0,,,,,,,,,
,,,,,,,,,,25.30000000000002,,1080.0,1080.0,540.0,540.0,540.0,,,,,,,,,
,,,,,,,,,,25.500000000000018,,1090.0,1090.0,545.0,545.0,545.0,,,,,,,,,
,,,,,,,,,,25.70000000000002,,1100.0,1100.0,550.0,550.0,550.0,,,,,,,,,
,,,,,,,,,,25.90000000000002,,1110.0,1110.0,555.0,555.0,555.0,,,,,,,,,
,,,,,,,,,,26.10000000000002,,1120.0,1120.0,560.0,560.0,560.0,,,,,,,,,
,,,,,,,,,,26.30000000000002,,1130.0,1130.0,565.0,565.0,565.0,,,,,,,,,
,,,,,,,,,,26.500000000000018,,1140.0,1140.0,570.0,570.0,570.0,,,,,,,,,
,,,,,,,,,,26.70000000000002,,1150.0,1150.0,575.0,575.0,575.0,,,,,,,,,
,,,,,,,,,,,,1160.0,1160.0,580.0,580.0,580.0,,,,,,,,,
,,,,,,,,,,,,1170.0,1170.0,585.0,585.0,585.0,,,,,,,,,
,,,,,,,,,,,,1180.0,1180.0,590.0,590.0,590.0,,,,,,,,,
,,,,,,,,,,,,1190.0,1190.0,595.0,595.0,595.0,,,,,,,,,
,,,,,,,,,,,,1200.0,1200.0,600.0,600.0,600.0,,,,,,,,,
,,,,,,,,,,,,1210.0,1210.0,605.0,605.0,605.0,,,,,,,,,
,,,,,,,,,,,,1220.0,1220.0,610.0,610.0,610.0,,,,,,,,,
,,,,,,,,,,,,1230.0,1230.0,615.0,615.0,615.0,,,,,,,,,
,,,,,,,,,,,,1240.0,1240.0,620.0,620.0,620.0,,,,,,,,,
,,,,,,,,,,,,1250.0,1250.0,625.0,625.0,625.0,,,,,,,,,
,,,,,,,,,,,,1260.0,1260.0,630.0,630.0,630.0,,,,,,,,,
,,,,,,,,,,,,1270.0,1270.0,635.0,635.0,635.0,,,,,,,,,
,,,,,,,,,,,,1280.0,1280.0,640.0,640.0,640.0,,,,,,,,,
,,,,,,,,,,,,1290.0,1290.0,645.0,645.0,645.0,,,,,,,,,
,,,,,,,,,,,,1300.0,1300.0,650.0,650.0,650.0,,,,,,,,,
,,,,,,,,,,,,1310.0,1310.0,655.0,655.0,655.0,,,,,,,,,
,,,,,,,,,,,,1320.0,1320.0,660.0,660.0,660.0,,,,,,,,,
,,,,,,,,,,,,1330.0,1330.0,665.0,665.0,665.0,,,,,,,,,
,,,,,,,,,,,,1340.0,1340.0,670.0,670.0,670.0,,,,,,,,,
,,,,,,,,,,,,1350.0,1350.0,675.0,675.0,675.0,,,,,,,,,
,,,,,,,,,,,,1360.0,1360.0,680.0,680.0,680.0,,,,,,,,,
,,,,,,,,,,,,1370.0,1370.0,685.0,685.0,685.0,,,,,,,,,
,,,,,,,,,,,,1380.0,1380.0,690.0,690.0,690.0,,,,,,,,,
,,,,,,,,,,,,1390.0,1390.0,695.0,695.0,695.0,,,,,,,,,
,,,,,,,,,,,,1400.0,1400.0,700.0,700.0,700.0,,,,,,,,,
,,,,,,,,,,,,1410.0,1410.0,705.0,705.0,705.0,,,,,,,,,
,,,,,,,,,,,,1420.0,1420.0,710.0,710.0,710.0,,,,,,,,,
,,,,,,,,,,,,1430.0,1430.0,715.0,715.0,715.0,,,,,,,,,
,,,,,,,,,,,,,,720.0,720.0,720.0,,,,,,,,,
,,,,,,,,,,,,,,725.0,725.0,725.0,,,,,,,,,
,,,,,,,,,,,,,,730.0,730.0,730.0,,,,,,,,,
,,,,,,,,,,,,,,735.0,735.0,735.0,,,,,,,,,
,,,,,,,,,,,,,,740.0,740.0,740.0,,,,,,,,,
,,,,,,,,,,,,,,745.0,745.0,745.0,,,,,,,,,
,,,,,,,,,,,,,,750.0,750.0,750.0,,,,,,,,,
,,,,,,,,,,,,,,755.0,755.0,755.0,,,,,,,,,
,,,,,,,,,,,,,,760.0,760.0,760.0,,,,,,,,,
,,,,,,,,,,,,,,765.0,765.0,765.0,,,,,,,,,
,,,,,,,,,,,,,,770.0,770.0,770.0,,,,,,,,,
,,,,,,,,,,,,,,775.0,775.0,775.0,,,,,,,,,
,,,,,,,,,,,,,,780.0,780.0,780.0,,,,,,,,,
,,,,,,,,,,,,,,785.0,785.0,785.0,,,,,,,,,
,,,,,,,,,,,,,,790.0,790.0,790.0,,,,,,,,,
,,,,,,,,,,,,,,795.0,795.0,795.0,,,,,,,,,
,,,,,,,,,,,,,,800.0,800.0,800.0,,,,,,,,,
,,,,,,,,,,,,,,805.0,805.0,805.0,,,,,,,,,
,,,,,,,,,,,,,,810.0,810.0,810.0,,,,,,,,,
,,,,,,,,,,,,,,815.0,815.0,815.0,,,,,,,,,
,,,,,,,,,,,,,,820.0,820.0,820.0,,,,,,,,,
,,,,,,,,,,,,,,825.0,825.0,825.0,,,,,,,,,
,,,,,,,,,,,,,,830.0,830.0,830.0,,,,,,,,,
,,,,,,,,,,,,,,835.0,835.0,835.0,,,,,,,,,
,,,,,,,,,,,,,,840.0,840.0,840.0,,,,,,,,,
,,,,,,,,,,,,,,845.0,845.0,845.0,,,,,,,,,
,,,,,,,,,,,,,,850.0,850.0,850.0,,,,,,,,,
,,,,,,,,,,,,,,855.0,855.0,855.0,,,,,,,,,
,,,,,,,,,,,,,,860.0,860.0,860.0,,,,,,,,,
,,,,,,,,,,,,,,865.0,865.0,865.0,,,,,,,,,
,,,,,,,,,,,,,,870.0,870.0,870.0,,,,,,,,,
,,,,,,,,,,,,,,875.0,875.0,875.0,,,,,,,,,
,,,,,,,,,,,,,,880.0,880.0,880.0,,,,,,,,,
,,,,,,,,,,,,,,885.0,885.0,885.0,,,,,,,,,
,,,,,,,,,,,,,,890.0,890.0,890.0,,,,,,,,,
,,,,,,,,,,,,,,895.0,895.0,895.0,,,,,,,,,
,,,,,,,,,,,,,,900.0,900.0,900.0,,,,,,,,,
,,,,,,,,,,,,,,905.0,905.0,905.0,,,,,,,,,
,,,,,,,,,,,,,,910.0,910.0,910.0,,,,,,,,,
,,,,,,,,,,,,,,915.0,915.0,915.0,,,,,,,,,
,,,,,,,,,,,,,,920.0,920.0,920.0,,,,,,,,,
,,,,,,,,,,,,,,925.0,925.0,925.0,,,,,,,,,
,,,,,,,,,,,,,,930.0,930.0,930.0,,,,,,,,,
,,,,,,,,,,,,,,935.0,935.0,935.0,,,,,,,,,
,,,,,,,,,,,,,,940.0,940.0,940.0,,,,,,,,,
,,,,,,,,,,,,,,945.0,945.0,945.0,,,,,,,,,
,,,,,,,,,,,,,,950.0,950.0,950.0,,,,,,,,,
,,,,,,,,,,,,,,955.0,955.0,955.0,,,,,,,,,
,,,,,,,,,,,,,,960.0,960.0,960.0,,,,,,,,,
,,,,,,,,,,,,,,965.0,965.0,965.0,,,,,,,,,
,,,,,,,,,,,,,,970.0,970.0,970.0,,,,,,,,,
,,,,,,,,,,,,,,975.0,975.0,975.0,,,,,,,,,
,,,,,,,,,,,,,,980.0,980.0,980.0,,,,,,,,,
,,,,,,,,,,,,,,985.0,985.0,985.0,,,,,,,,,
,,,,,,,,,,,,,,990.0,990.0,990.0,,,,,,,,,
,,,,,,,,,,,,,,995.0,995.0,995.0,,,,,,,,,
,,,,,,,,,,,,,,1000.0,1000.0,1000.0,,,,,,,,,
,,,,,,,,,,,,,,1005.0,1005.0,1005.0,,,,,,,,,
,,,,,,,,,,,,,,1010.0,1010.0,1010.0,,,,,,,,,
,,,,,,,,,,,,,,1015.0,1015.0,1015.0,,,,,,,,,
,,,,,,,,,,,,,,1020.0,1020.0,1020.0,,,,,,,,,
,,,,,,,,,,,,,,1025.0,1025.0,1025.0,,,,,,,,,
,,,,,,,,,,,,,,1030.0,1030.0,1030.0,,,,,,,,,
,,,,,,,,,,,,,,1035.0,1035.0,1035.0,,,,,,,,,
,,,,,,,,,,,,,,1040.0,1040.0,1040.0,,,,,,,,,
,,,,,,,,,,,,,,1045.0,1045.0,1045.0,,,,,,,,,
,,,,,,,,,,,,,,1050.0,1050.0,1050.0,,,,,,,,,
,,,,,,,,,,,,,,1055.0,1055.0,1055.0,,,,,,,,,
,,,,,,,,,,,,,,1060.0,1060.0,1060.0,,,,,,,,,
,,,,,,,,,,,,,,1065.0,1065.0,1065.0,,,,,,,,,
,,,,,,,,,,,,,,1070.0,1070.0,1070.0,,,,,,,,,
,,,,,,,,,,,,,,1075.0,1075.0,1075.0,,,,,,,,,
,,,,,,,,,,,,,,1080.0,1080.0,1080.0,,,,,,,,,
,,,,,,,,,,,,,,1085.0,1085.0,1085.0,,,,,,,,,
,,,,,,,,,,,,,,1090.0,1090.0,1090.0,,,,,,,,,
,,,,,,,,,,,,,,1095.0,1095.0,1095.0,,,,,,,,,
,,,,,,,,,,,,,,1100.0,1100.0,1100.0,,,,,,,,,
,,,,,,,,,,,,,,1105.0,1105.0,1105.0,,,,,,,,,
,,,,,,,,,,,,,,1110.0,1110.0,1110.0,,,,,,,,,
,,,,,,,,,,,,,,1115.0,1115.0,1115.0,,,,,,,,,
,,,,,,,,,,,,,,1120.0,1120.0,1120.0,,,,,,,,,
,,,,,,,,,,,,,,1125.0,1125.0,1125.0,,,,,,,,,
,,,,,,,,,,,,,,1130.0,1130.0,1130.0,,,,,,,,,
,,,,,,,,,,,,,,1135.0,1135.0,1135.0,,,,,,,,,
,,,,,,,,,,,,,,1140.0,1140.0,1140.0,,,,,,,,,
,,,,,,,,,,,,,,1145.0,1145.0,1145.0,,,,,,,,,
,,,,,,,,,,,,,,1150.0,1150.0,1150.0,,,,,,,,,
,,,,,,,,,,,,,,1155.0,1155.0,1155.0,,,,,,,,,
,,,,,,,,,,,,,,1160.0,1160.0,1160.0,,,,,,,,,
,,,,,,,,,,,,,,1165.0,1165.0,1165.0,,,,,,,,,
,,,,,,,,,,,,,,1170.0,1170.0,1170.0,,,,,,,,,
,,,,,,,,,,,,,,1175.0,1175.0,1175.0,,,,,,,,,
,,,,,,,,,,,,,,1180.0,1180.0,1180.0,,,,,,,,,
,,,,,,,,,,,,,,1185.0,1185.0,1185.0,,,,,,,,,
,,,,,,,,,,,,,,1190.0,1190.0,1190.0,,,,,,,,,
,,,,,,,,,,,,,,1195.0,1195.0,1195.0,,,,,,,,,
,,,,,,,,,,,,,,1200.0,1200.0,1200.0,,,,,,,,,
,,,,,,,,,,,,,,1205.0,1205.0,1205.0,,,,,,,,,
,,,,,,,,,,,,,,1210.0,1210.0,1210.0,,,,,,,,,
,,,,,,,,,,,,,,1215.0,1215.0,1215.0,,,,,,,,,
,,,,,,,,,,,,,,1220.0,1220.0,1220.0,,,,,,,,,
,,,,,,,,,,,,,,1225.0,1225.0,1225.0,,,,,,,,,
,,,,,,,,,,,,,,1230.0,1230.0,1230.0,,,,,,,,,
,,,,,,,,,,,,,,1235.0,1235.0,1235.0,,,,,,,,,
,,,,,,,,,,,,,,1240.0,1240.0,1240.0,,,,,,,,,
,,,,,,,,,,,,,,1245.0,1245.0,1245.0,,,,,,,,,
,,,,,,,,,,,,,,1250.0,1250.0,1250.0,,,,,,,,,
,,,,,,,,,,,,,,1255.0,1255.0,1255.0,,,,,,,,,
,,,,,,,,,,,,,,1260.0,1260.0,1260.0,,,,,,,,,
,,,,,,,,,,,,,,1265.0,1265.0,1265.0,,,,,,,,,
,,,,,,,,,,,,,,1270.0,1270.0,1270.0,,,,,,,,,
,,,,,,,,,,,,,,1275.0,1275.0,1275.0,,,,,,,,,
,,,,,,,,,,,,,,1280.0,1280.0,1280.0,,,,,,,,,
,,,,,,,,,,,,,,1285.0,1285.0,1285.0,,,,,,,,,
,,,,,,,,,,,,,,1290.0,1290.0,1290.0,,,,,,,,,
,,,,,,,,,,,,,,1295.0,1295.0,1295.0,,,,,,,,,
,,,,,,,,,,,,,,1300.0,1300.0,1300.0,,,,,,,,,
,,,,,,,,,,,,,,1305.0,1305.0,1305.0,,,,,,,,,
,,,,,,,,,,,,,,1310.0,1310.0,1310.0,,,,,,,,,
,,,,,,,,,,,,,,1315.0,1315.0,1315.0,,,,,,,,,
,,,,,,,,,,,,,,1320.0,1320.0,1320.0,,,,,,,,,
,,,,,,,,,,,,,,1325.0,1325.0,1325.0,,,,,,,,,
,,,,,,,,,,,,,,1330.0,1330.0,1330.0,,,,,,,,,
,,,,,,,,,,,,,,1335.0,1335.0,1335.0,,,,,,,,,
,,,,,,,,,,,,,,1340.0,1340.0,1340.0,,,,,,,,,
,,,,,,,,,,,,,,1345.0,1345.0,1345.0,,,,,,,,,
,,,,,,,,,,,,,,1350.0,1350.0,1350.0,,,,,,,,,
,,,,,,,,,,,,,,1355.0,1355.0,1355.0,,,,,,,,,
,,,,,,,,,,,,,,1360.0,1360.0,1360.0,,,,,,,,,
,,,,,,,,,,,,,,1365.0,1365.0,1365.0,,,,,,,,,
,,,,,,,,,,,,,,1370.0,1370.0,1370.0,,,,,,,,,
,,,,,,,,,,,,,,1375.0,1375.0,1375.0,,,,,,,,,
,,,,,,,,,,,,,,1380.0,1380.0,1380.0,,,,,,,,,
,,,,,,,,,,,,,,1385.0,1385.0,1385.0,,,,,,,,,
,,,,,,,,,,,,,,1390.0,1390.0,1390.0,,,,,,,,,
,,,,,,,,,,,,,,1395.0,1395.0,1395.0,,,,,,,,,
,,,,,,,,,,,,,,1400.0,1400.0,1400.0,,,,,,,,,
,,,,,,,,,,,,,,1405.0,1405.0,1405.0,,,,,,,,,
,,,,,,,,,,,,,,1410.0,1410.0,1410.0,,,,,,,,,
,,,,,,,,,,,,,,1415.0,1415.0,1415.0,,,,,,,,,
,,,,,,,,,,,,,,1420.0,1420.0,1420.0,,,,,,,,,
,,,,,,,,,,,,,,1425.0,1425.0,1425.0,,,,,,,,,
,,,,,,,,,,,,,,1430.0,1430.0,1430.0,,,,,,,,,
,,,,,,,,,,,,,,1435.0,1435.0,1435.0,,,,,,,,,
